source_paper,star_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2024,HD 11507,0.8649679187756932,0.1028889087502812,0.1167800242442911,15.8,gyro_e23,5.134635708766251e+18,28.208951776479687,-22.43486455959262,90.417087740951,0.021281939,845.6319915928295,-1.5052937240260984,8.186272,9.119309,7.2316756,1.8876338,0.9196096,,0.95459604,,False
Engle_2024,TYC 3142-1028-1,0.8472274141405964,0.1093231840114954,0.1255198096363686,15.65,gyro_e23,2.101992694430576e+18,290.38407222879454,42.515209619104674,31.47194002743817,0.20242548,54.73541827537156,141.7272803392939,11.176562,12.388435,10.074933,2.3135023,13.228264,,1.1016293,,True
Engle_2024,1RXS J133332.0+364153,0.8128305161640993,0.0950362248927375,0.107619055589072,15.36,gyro_e23,1.475079309195355e+18,203.3867911195119,36.695763805647296,8.600569205131114,0.12716743,-54.12279679884083,-9.991544029431186,13.161207,14.15399,12.150093,2.0038967,11.507676,,1.0111141,,True
Engle_2024,G 74-25,1.667247212551063,0.1501968450917261,0.1650672098201486,15.29,gyro_e23,3.2864323956564186e+17,36.41178275195324,37.54245676027941,34.6264284234489,0.029521262,286.1919481706369,-66.31882209763094,12.62925,14.205266,11.410813,2.7944527,1.5390193,0.0,1.2184362,2.7944527,True
Engle_2024,UCAC3 242-88245,0.9057326008982,0.0545945626958236,0.0580964227257704,15.1,gyro_e23,8.860571820034778e+17,111.2359724255376,30.910391275850856,34.9489391207318,0.5475016,-134.4095085308124,10.40270807069801,11.780699,13.153359,10.608825,2.5445347,24.92357,,1.171874,,True
Engle_2024,GJ 3127,0.8709635899560807,0.0524988018212908,0.0558662334232685,14.79,gyro_e23,2.461635667907177e+18,30.195246964342434,-10.35738561514347,34.353513205423226,0.031040043,-372.8792926217764,-364.6443876070824,12.778251,14.339484,11.564702,2.7747822,1.5906608,,1.2135487,,True
Engle_2024,UCAC4 617-130729,0.8649679187756932,0.0521374026115939,0.055481652977478,14.75,gyro_e23,1.905055700744817e+18,334.6780341496085,33.35373479329276,18.521732313967338,0.01877569,57.592651354617296,-15.036915218287564,11.913482,13.186471,10.789883,2.3965883,1.2933388,,1.123599,,True
Engle_2024,LP 331-57A,0.8433347577642754,0.0508334272838035,0.054094036736473,14.54,gyro_e23,1.3105133422809485e+18,255.9712102029427,32.19655819582678,54.27147396330813,0.3380636870861053,192.95677399504004,97.16082940424306,10.869014739990234,12.194414138793944,9.605082511901855,2.58933162689209,21.78748321533203,,1.263932228088379,,True
Engle_2024,GJ 410,0.7211074791828996,0.0813726437002514,0.0917230369811996,14.52,gyro_e23,3.988689609004983e+18,165.660442631078,21.96690929052043,83.76419563486569,0.0203579142689704,142.77050015541252,-51.66078672242831,8.811088562011719,9.819595336914062,7.81390380859375,2.0056915283203125,1.1218639612197876,0.0003999999898951,0.9971847534179688,2.0052915283304173,False
Engle_2024,StKM 1-1215,0.660693448007596,0.0799290304862839,0.0909294460106094,13.91,gyro_e23,1.290392657450571e+18,227.662270358258,33.68914422588433,30.71353177337149,0.012746712,-115.71038038752803,-45.817593399552045,10.411062,11.292404,9.487696,1.8047085,1.1618264,,0.92336655,,False
Engle_2024,GJ 338A,0.9311078754678304,0.2854536464331748,0.4116570856700334,16.3,gyro_e23,1.022456139210632e+18,138.5835616152243,52.68408016691263,157.88793077923938,0.019652834,-1545.7874520604669,-569.052823523412,6.976026,7.8634076,6.046104,1.8173037,1.0839477,,0.9299221,,False
Engle_2024,SCR J1107-3420B,1.0715193052376064,0.0784032568166726,0.0845929369544924,7.61,gyro_e23,5.401688460176652e+18,166.9596559883445,-34.35129898487057,,,,,13.811878,15.312731,12.1774235,3.1353073,,,1.6344547,,
Engle_2024,HAT 122-01032,0.8871560120379609,0.0611180624607822,0.0656401519856909,4.38,gyro_e23,3.931559848148481e+17,2.025945508249953,47.95067855186984,53.623183787846,0.03065867,-124.05565122909393,4.3616892282195305,11.423243,12.989094,10.1998205,2.7892733,1.2686943,0.0,1.223422,2.7892733,True
Engle_2024,UCAC4 678-130516,0.2409905428686594,0.0222143804737042,0.0244700133288945,6.85,gyro_e23,1.941126622803034e+18,347.91176908037005,45.54039730754014,13.234145183462353,0.013381511,52.20234433022563,-4.166332247485421,12.042918,12.899901,11.126572,1.7733297,1.2563899,,0.91634655,,True
Engle_2024,UCAC4 681-049380,0.1432187899273543,0.0123005976274136,0.0134563170834605,3.22,gyro_e23,9.288275701443444e+17,123.95339818513816,46.02177021341276,23.11318682883245,0.019870693,-118.91388887746116,-75.39137437818887,12.266249,13.431188,11.194427,2.236761,1.4294192,,1.0718222,,True
Engle_2024,LP 709-18,0.1936421963946607,0.0082890340531796,0.0086597214731664,3.15,gyro_e23,2.461728194387221e+18,30.43402323907605,-10.290317824118802,53.52584530956008,0.022055056,274.7914850508257,244.101677167584,13.026334,14.716257,11.785898,2.930359,1.228108,,1.2404356,,True
Engle_2024,LP 851-399,0.8241381150130023,0.0567766256511833,0.0609774948178332,3.07,gyro_e23,3.49263823798611e+18,179.47148288573285,-23.81699799252837,26.623585142702883,0.023275252,-281.61238065916086,-27.183090146586387,13.280322,14.99575,12.025668,2.9700823,1.4101081,,1.2546539,,True
Engle_2024,UCAC4 587-034710,0.1399587322572618,0.0120206018415093,0.0131500139109412,3.05,gyro_e23,3.385237181976223e+18,102.95130100567556,27.20129350543197,21.84677249688751,0.018614609,-6.082920755882948,-115.6175188019668,11.296736,12.187493,10.364001,1.823492,1.0117419,,0.9327345,,False
Engle_2024,GJ 729,0.1874994508067418,0.0080260881234892,0.0083850165438571,2.9,gyro_e23,4.075141768785647e+18,282.4587890175222,-23.83709744872712,336.0266016683708,0.031666122,639.367850335873,-193.95792507116096,9.126414,10.732183,7.898147,2.8340364,0.98801184,,1.2282672,,False
Engle_2024,GJ 494,0.1367728825595849,0.0117469795378129,0.0128506830498584,2.89,gyro_e23,3.737308025029349e+18,195.1911254275066,12.3755949261537,86.90096932259803,0.11696227,-628.7153076633822,-33.47184830837257,8.89914,9.993012,7.846313,2.1466994,4.1922174,,1.0528274,,True
Engle_2024,1RXS J031028.8+285952,0.186637969083467,0.0079892115982619,0.0083464908923375,2.87,gyro_e23,1.220436646756928e+17,47.619554620406056,28.99694616930648,16.76984686709385,0.1432821,-63.883684363227786,-42.36640881514609,13.127443,14.453886,11.952431,2.5014553,8.674971,,1.1750126,,True
Engle_2024,EPIC 204957517,0.8109610578538408,0.0558688301884068,0.0600025321022399,2.82,gyro_e23,6.244712475056968e+18,245.1736783468304,-20.08777352232621,,,,,12.326397,13.942892,11.07564,2.8672523,,,1.2507572,,
Engle_2024,LP 152-39,0.1348962882591653,0.0115858049362744,0.012674365068424,2.79,gyro_e23,3.5676441338535014e+17,29.55825338637456,48.73859302728839,22.017445039653847,0.13727635,203.9224136599542,-54.93067168914575,11.642244,12.812923,10.552266,2.2606573,10.148448,,1.0899782,,True
Engle_2024,GJ 285,0.8090958991783823,0.0557403354446649,0.0598645301079194,2.78,gyro_e23,3.1369526860352507e+18,116.1658359308822,3.5504844454883244,166.97689652666736,0.034340866,-347.78160133471783,-445.7017799350484,9.692206,11.416927,8.419889,2.997038,1.3503697,0.0001,1.2723169,2.996938,True
Engle_2024,CK Tri,0.1336595516546442,0.011479585638157,0.0125581657910276,2.73,gyro_e23,3.267601197447474e+17,37.401319469666014,34.39480448255867,26.02814238593467,0.09792218,-47.66386416027811,-111.36035927906865,11.586893,12.717959,10.524907,2.1930523,5.2554617,,1.061986,,True
